Open,Close,High,Low,Number of Trades,Volume,Volume Weighted Average,Increase
151.74,151.74,151.74,151.74,1,200,151.74,1
151.65,151.65,151.65,151.65,16,1027,151.628763,1
151.19,151.19,151.19,151.19,7,211,151.215592,1
151.15,151.15,151.15,151.15,1,100,151.15,1
151,151,151,151,2,212,151,0
151.18,151.18,151.18,151.18,3,204,151.176471,1
150.97,150.89,150.96,150.45,352,124921,150.715939,0
150.82,150.99,151,150.78,150,7791,150.898853,1
150.9595,150.71,151.03,150.71,264,23037,150.94215,1
150.68,150.5353,150.8,150.5,151,15040,150.613664,1
150.57,150.4162,150.61,150.39,161,13762,150.526239,1
150.4125,150.33,150.4125,150.22,295,16664,150.312935,1
150.37,150.15,150.38,150.14,171,8842,150.226572,1
150.17,150.1317,150.24,150.1,157,11641,150.170374,1
150.07,149.96,150.1,149.9,274,25739,150.001095,1
149.9899,149.8,149.9899,149.8,167,8149,149.882612,1
149.79,149.55,149.85,149.55,278,12456,149.691942,0
149.523,149.59,149.66,149.46,408,22659,149.540374,0
149.52,149.72,149.79,149.52,229,16195,149.698377,0
149.72,149.885,149.885,149.68,276,19752,149.722821,0
149.9,150.02,150.07,149.9,348,24498,149.994092,1
150.01,149.7902,150.01,149.77,297,19881,149.898422,1
149.8,149.6,149.875,149.6,232,10623,149.747722,0
149.582,149.61,149.66,149.51,230,19378,149.572481,1
149.61,149.6051,149.65,149.55,205,11657,149.594248,0
149.61,149.64,149.65,149.55,194,14938,149.600138,1
149.61,149.49,149.62,149.49,265,15000,149.543482,1
149.5,149.45,149.5006,149.4037,168,10393,149.446012,0
149.46,149.63,149.64,149.46,181,9949,149.549705,0
149.66,149.64,149.665,149.56,154,9032,149.61202,0
149.66,149.68,149.68,149.64,107,5048,149.670166,0
149.7193,149.74,149.74,149.67,129,5732,149.704689,1
149.71,149.62,149.74,149.56,256,12005,149.65508,0
149.6201,149.7,149.73,149.6201,84,2574,149.68561,1
149.675,149.65,149.69,149.55,174,8477,149.618726,0
149.62,149.66,149.66,149.585,106,5055,149.621715,1
149.63,149.5,149.645,149.47,207,8524,149.523253,0
149.48,149.55,149.55,149.43,166,7832,149.480272,0
149.57,149.645,149.65,149.51,200,11730,149.582831,0
149.642,149.675,149.7116,149.642,116,4889,149.678781,1
149.635,149.61,149.69,149.58,150,6763,149.621203,1
149.6143,149.57,149.63,149.54,111,4518,149.582606,0
149.55,149.64,149.64,149.55,92,6787,149.581074,0
149.62,149.66,149.66,149.61,223,9303,149.634784,0
149.69,149.72,149.75,149.68,131,9761,149.706599,0
149.7497,149.7607,149.79,149.71,198,7696,149.754281,0
149.77,149.77,149.78,149.74,128,4959,149.745903,1
149.775,149.76,149.775,149.73,144,7017,149.757947,0
149.77,149.88,149.88,149.77,158,8407,149.827623,0
